Store,Dept,first_date,last_date,n_weeks,total_sales,volume_tier
15,52,2010-02-05,2012-10-26,143,223257.76,low
35,83,2010-02-05,2012-10-26,143,357099.15,low
28,52,2010-02-05,2012-10-26,143,378310.35,low
33,74,2010-02-05,2012-10-26,143,51952.16,low
32,52,2010-02-05,2012-10-26,143,359356.63,low
3,21,2010-02-05,2012-10-26,143,177967.74,low
28,31,2010-02-05,2012-10-26,143,369504.14,low
30,98,2010-02-05,2012-10-26,143,458605.96,low
37,87,2010-02-05,2012-10-26,143,145869.61000000002,low
7,31,2010-02-05,2012-10-26,143,257336.97,low
3,4,2010-02-05,2012-10-26,143,1206088.67,medium
18,91,2010-02-05,2012-10-26,143,2019801.0,medium
34,34,2010-02-05,2012-10-26,143,1153241.22,medium
31,17,2010-02-05,2012-10-26,143,1150213.16,medium
45,81,2010-02-05,2012-10-26,143,2095392.73,medium
31,34,2010-02-05,2012-10-26,143,2042003.86,medium
16,17,2010-02-05,2012-10-26,143,1030004.79,medium
15,4,2010-02-05,2012-10-26,143,1870750.66,medium
7,3,2010-02-05,2012-10-26,143,1234595.78,medium
45,3,2010-02-05,2012-10-26,143,1359646.14,medium
14,14,2010-02-05,2012-10-26,143,3542836.15,high
32,8,2010-02-05,2012-10-26,143,3529432.99,high
24,92,2010-02-05,2012-10-26,143,17429136.57,high
30,90,2010-02-05,2012-10-26,143,4951087.03,high
28,81,2010-02-05,2012-10-26,143,3163891.11,high
2,16,2010-02-05,2012-10-26,143,3861740.69,high
24,80,2010-02-05,2012-10-26,143,4072607.69,high
27,17,2010-02-05,2012-10-26,143,2676041.66,high
34,96,2010-02-05,2012-10-26,143,2739052.36,high
8,4,2010-02-05,2012-10-26,143,3015771.23,high
