Store,Dept,order,seasonal_order,aicc,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
34,94,"(0, 1, 2)","(1, 0, 1)",879.7472011237718,2061.315370018178,278.5457066608678,2442.2508657527037,2469.6686534221526,3281.432902215387,0
43,91,"(2, 1, 2)","(0, 0, 1)",864.9799189628113,2012.8384160907544,629.2635615033879,2394.437782493438,2241.247964721672,2644.092082905245,0
22,56,"(1, 1, 2)","(0, 1, 0)",904.9427800194763,1439.9656400035458,1240.5100553981185,1492.2436266882767,1578.8206344417881,2697.345726512932,2
28,44,"(2, 1, 2)","(1, 0, 1)",743.0261205611463,699.5664456873851,375.4964851840969,419.01054104264,427.53806285252136,488.78959859228036,0
32,92,"(1, 1, 2)","(0, 1, 0)",946.6525811777345,26769.420998209418,31172.23265335911,4163.60135812777,3864.2448021886116,5036.836167261552,0
17,13,"(1, 1, 2)","(0, 1, 0)",870.3205700090006,2158.701501708416,435.0347843160289,1269.5498654167593,1243.3681984695068,1618.600084722309,0
40,80,"(0, 1, 2)","(1, 0, 1)",804.4739748699764,1281.6420032360893,407.2203178427751,1115.4173580917777,986.0959836998524,1211.0316891833752,0
25,5,"(2, 1, 2)","(0, 0, 1)",935.1375255446469,4767.02903582997,3094.472434011663,4566.226518860755,4019.4765325411167,4597.3892015305755,0
42,52,"(0, 1, 2)","(0, 0, 1)",394.1180124744744,12.664886376681855,4.3322105345284925,10.154398830488674,8.95291053851406,11.751407875248058,0
21,14,"(2, 1, 2)","(0, 0, 1)",881.8701701973595,6220.7629809266,2408.2718906807277,1529.3684727830635,1528.2578068910054,1900.53267012631,0
1,92,"(2, 1, 2)","(0, 1, 0)",973.7594339353591,4032.384984761435,2312.1907553118112,5036.904114685924,5259.184885958706,6451.597424245418,0
7,29,"(1, 1, 2)","(1, 0, 1)",681.6586146333416,1442.1484650187078,1651.6066557014253,206.8173686300649,227.45557333545096,289.6477239371835,0
28,81,"(2, 0, 2)","(0, 1, 0)",855.547115931722,977.1432006456913,119.57928826618807,1844.4283454938916,1722.4485280295182,2514.1477647642773,0
11,59,"(1, 1, 2)","(1, 0, 1)",727.2449370230205,540.0731249228081,401.56863830794487,318.14948650538696,226.38370908479757,272.1582487596439,0
14,29,"(2, 1, 2)","(0, 0, 1)",830.9130845745537,1795.1467119451065,1229.4401934500054,2229.0881943710892,1932.7324916074874,2294.931382359017,0
11,9,"(2, 1, 2)","(0, 1, 0)",894.3809590686118,3320.6597948550757,2076.137722308206,1631.9324964488321,1778.6931496312363,2425.8436415763395,0
31,40,"(0, 1, 2)","(0, 0, 1)",893.8493623217006,3114.2974684550586,292.00838280638555,2561.495699745997,2642.065135922007,3067.981885871643,0
45,92,"(2, 1, 2)","(0, 1, 0)",936.5279603436001,7220.232172237225,5523.911975760745,4095.2077577662667,3982.264070574648,5299.1386026992095,0
17,17,"(2, 1, 2)","(0, 1, 0)",831.960600245527,1250.532945399518,347.5970438313017,828.3503455386958,959.8185266788233,1226.239429250842,0
8,56,"(1, 1, 2)","(1, 0, 1)",853.9140499799196,1645.8752997196473,547.1570788039473,4986.774266561202,5816.120152464426,9202.91877978968,0
36,60,"(1, 1, 2)","(1, 0, 1)",573.4767428213243,79.94079024928598,28.702174245981837,84.12944161045107,87.94171959857161,94.69653376145563,0
7,56,"(1, 1, 2)","(0, 1, 0)",921.4179876368365,3427.622822456626,2728.373480629248,1837.8442313827331,1963.2766545812524,3501.426557256132,0
19,17,"(0, 1, 2)","(1, 0, 1)",866.1206176881351,2366.270678211725,705.6055577020861,1363.1667824033348,1316.2076107677638,1641.6921690955953,0
35,17,"(0, 1, 2)","(1, 0, 1)",881.4518439553487,2902.3827502398512,1106.9358201284604,1188.4231500094488,1102.4763823873689,1308.6054436503946,0
38,81,"(2, 1, 2)","(0, 1, 0)",730.4373060722585,470.9935583244867,172.01046525143198,388.77140805573947,393.30672950367796,520.3454343795202,0
3,87,"(1, 1, 2)","(0, 0, 1)",681.3120058833209,290.0973027209691,46.38307961710906,357.0275953210433,338.5866806303605,415.3483512658681,0
10,55,"(2, 1, 2)","(0, 0, 1)",962.7399058027479,12193.327401822398,7701.932113045752,4677.918497077883,3532.776113838366,4448.260745853753,0
27,16,"(2, 1, 2)","(0, 0, 1)",1008.643101918368,11932.823285601684,6476.593497330945,19241.601701542586,21564.871962416142,27568.006542029525,0
7,46,"(1, 1, 2)","(1, 0, 1)",866.5295692834425,2769.2383526366407,429.3884857292073,2351.6524001183216,2349.339903281267,2844.523366955262,0
16,40,"(0, 1, 2)","(1, 0, 1)",836.4434484573851,1091.6586260718825,298.0797865122147,3473.816172227486,3306.4182952193123,3890.4607465582194,0
