Store,Dept,order,seasonal_order,cv_wmae_mean,cv_wmae_std,architecture,run_name,stage,tracker,feature_set,preprocessing,validation_id,data_version,evaluation_scope,forecast_strategy,series_count,random_seed,holdout_wmae,holdout_mae,holdout_rmse,fit_seconds,predict_seconds,notes
38.0,52.0,"(1, 1, 2)","(0, 0, 1)",9.491244307043084,2.381372267525665,,,,,,,,,,,,,,,,,,
44.0,52.0,"(1, 1, 2)","(0, 0, 1)",12.043774077765022,2.350982471870498,,,,,,,,,,,,,,,,,,
37.0,52.0,"(0, 1, 2)","(0, 0, 1)",25.26567591101033,5.557488393443398,,,,,,,,,,,,,,,,,,
42.0,52.0,"(0, 1, 2)","(0, 0, 1)",12.664886376681856,4.3322105345284925,,,,,,,,,,,,,,,,,,
44.0,25.0,"(0, 1, 2)","(0, 0, 1)",14.792808635169669,5.355414054562106,,,,,,,,,,,,,,,,,,
31.0,19.0,"(0, 1, 2)","(0, 0, 1)",26.81077359681725,5.223451452474174,,,,,,,,,,,,,,,,,,
38.0,25.0,"(0, 1, 2)","(0, 0, 1)",28.20145518538649,12.05663665597159,,,,,,,,,,,,,,,,,,
42.0,28.0,"(0, 1, 2)","(0, 0, 1)",25.53634853347291,7.718801166297072,,,,,,,,,,,,,,,,,,
38.0,12.0,"(0, 1, 2)","(0, 0, 1)",22.815368858707743,4.089618206630577,,,,,,,,,,,,,,,,,,
30.0,42.0,"(1, 1, 2)","(0, 0, 1)",21.69439514830368,11.628830661390666,,,,,,,,,,,,,,,,,,
12.0,32.0,"(0, 1, 2)","(1, 0, 1)",1575.191732033548,657.7888782337227,,,,,,,,,,,,,,,,,,
45.0,3.0,"(1, 1, 2)","(1, 0, 1)",2261.1596541312615,1747.6665618070742,,,,,,,,,,,,,,,,,,
4.0,42.0,"(0, 1, 2)","(0, 0, 1)",932.029715303118,365.1132506559801,,,,,,,,,,,,,,,,,,
14.0,33.0,"(2, 1, 2)","(0, 0, 1)",4570.868981171416,1856.5508383835825,,,,,,,,,,,,,,,,,,
7.0,1.0,"(2, 1, 2)","(0, 0, 1)",2428.7056226429813,1260.038080598256,,,,,,,,,,,,,,,,,,
11.0,98.0,"(0, 1, 2)","(1, 0, 1)",2491.6100617611296,1262.621106483502,,,,,,,,,,,,,,,,,,
43.0,98.0,"(2, 1, 2)","(1, 0, 1)",980.0491416983896,343.80005095403106,,,,,,,,,,,,,,,,,,
29.0,14.0,"(2, 1, 2)","(0, 1, 0)",3019.68778220202,2126.5155894672503,,,,,,,,,,,,,,,,,,
11.0,20.0,"(0, 1, 2)","(1, 0, 1)",1178.330462945721,275.9194147960815,,,,,,,,,,,,,,,,,,
27.0,24.0,"(0, 1, 2)","(1, 0, 1)",2524.1935107241493,1232.0159852400468,,,,,,,,,,,,,,,,,,
2.0,95.0,"(0, 1, 2)","(1, 0, 1)",5418.820398073217,1332.938555292605,,,,,,,,,,,,,,,,,,
14.0,95.0,"(0, 1, 2)","(1, 0, 1)",8487.208227390123,477.19703565726,,,,,,,,,,,,,,,,,,
27.0,92.0,"(1, 1, 2)","(0, 1, 0)",6542.065959691786,945.59808956784,,,,,,,,,,,,,,,,,,
4.0,95.0,"(0, 1, 2)","(0, 1, 0)",7934.848734281249,1318.0027585241455,,,,,,,,,,,,,,,,,,
20.0,95.0,"(2, 1, 2)","(0, 0, 1)",15134.067598961925,9374.592741641973,,,,,,,,,,,,,,,,,,
4.0,92.0,"(2, 1, 2)","(0, 1, 0)",20094.921964132805,20703.88379171962,,,,,,,,,,,,,,,,,,
13.0,92.0,"(1, 1, 2)","(0, 1, 0)",7928.176011920895,2716.9155160899377,,,,,,,,,,,,,,,,,,
20.0,92.0,"(2, 1, 2)","(0, 1, 0)",43535.52788196038,52042.73987770625,,,,,,,,,,,,,,,,,,
2.0,92.0,"(2, 1, 2)","(0, 1, 0)",6020.394668754546,872.529070056162,,,,,,,,,,,,,,,,,,
14.0,92.0,"(0, 1, 2)","(0, 1, 0)",11501.352569407129,5508.965983348889,,,,,,,,,,,,,,,,,,
,,,,1936.7126912588699,474.38418969996474,sarima,sarima__tuning__target_only_v1__a_no_exog_base_grid__s42,tuning,mlflow,target_only_v1,statistical_target_only_v1,expanding_3x13_holdout_39_v1,processed_v1,representative_series,local_per_series,30.0,42.0,2555.7903837729377,2593.4998611336373,6180.261346493589,11.634344832997158,0.07421895698644221,"SARIMA, winning config from 3 trials (IsHoliday exog ablation, wide seasonal grid ablation): A_no_exog_base_grid. Order chosen once per series via AICc, using only the earliest CV fold's training window (no cross-fold or cross-notebook leakage). Holdout evaluated once. Representative series, not full dataset."
